timestamp,name,country,tags,image,link
2026-03-22T16:48:21.489786,Irie Maffia,HU,REGGAE|TUESDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601089_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074083-irie-maffia?from=%2F
2026-03-22T16:48:21.490036,Ivan & TheParazol,HU,ALTERNATIVE|INDIE|WEDNESDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594620_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071955-ivan-%26-the-parazol?from=%2F
2026-03-22T16:48:23.098094,Jazzbois,HU,ALT-JAZZ|HIP-HOP|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/10/thumb_5609630_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079193-jazzbois?from=%2F
2026-03-22T16:48:23.098342,Jazzy,IE,ELECTRONIC|HOUSE|TUESDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580022_performance_960.jpeg,/en/programs-lineup-2026#/artist/2065317-jazzy?from=%2F
2026-03-22T16:48:23.098580,John Coffey,NL,HARDCORE PUNK|ROCK|THURSDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594624_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071968-john-coffey?from=%2F
2026-03-22T16:48:25.264138,Karen Dió,BR,POP PUNK|ROCK|INDIE|FRIDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580023_performance_960.jpeg,/en/programs-lineup-2026#/artist/2065318-karen-dio?from=%2F
2026-03-22T16:48:25.264419,Killakikitt,HU,HIP-HOP|SATURDAY,https://media.appmiral.com/prod/performance/0057/12/thumb_5611267_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079719-killakikitt?from=%2F
2026-03-22T16:48:25.264705,Kim Dracula,AU,ROCK|METAL|ALTERNATIVE|TUESDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580024_performance_960.jpeg,/en/programs-lineup-2026#/artist/2065316-kim-dracula?from=%2F
2026-03-22T16:48:27.433306,Kispál és aBorz,HU,ROCK|ALTERNATIVE ROCK|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601252_performance_500.png,/en/programs-lineup-2026#/artist/2074080-kispal-es-a-borz?from=%2F
2026-03-22T16:48:27.433561,Koikoi,RS,ALTERNATIVE ROCK|ROCK|TUESDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608930_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079545-koikoi?from=%2F
2026-03-22T16:48:27.433810,Kolibri,HU,INDIE|FOLK|ALTERNATIVE|THURSDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594664_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071956-kolibri?from=%2F
2026-03-22T16:48:29.044106,LambriniGirls,UK,ROCK|PUNK ROCK|TUESDAY,https://media.appmiral.com/prod/performance/0056/78/thumb_5577153_performance_960.jpeg,/en/programs-lineup-2026#/artist/2064848-lambrini-girls?from=%2F
2026-03-22T16:48:29.044382,LAZARVS,HU,METAL|ROCK|FRIDAY,https://media.appmiral.com/prod/performance/0057/03/thumb_5602490_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074006-lazarvs?from=%2F
2026-03-22T16:48:29.044653,LEAP,UK,ALTERNATIVE ROCK|INDIE ROCK|ROCK|THURSDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594669_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071963-leap?from=%2F
2026-03-22T16:48:31.201074,Libra,PT,HIP-HOP|RAP|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/11/thumb_5610935_performance_960.jpeg,/en/programs-lineup-2026#/artist/2080197-libra?from=%2F
2026-03-22T16:48:31.201327,Luke Black,RS,POP|ALT POP|ELECTROPOP|FRIDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608985_performance_960.png,/en/programs-lineup-2026#/artist/2079560-luke-black?from=%2F
2026-03-22T16:48:31.201568,Majka,HU,RAP|HIP-HOP|THURSDAY,https://media.appmiral.com/prod/performance/0057/03/thumb_5602461_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074024-majka?from=%2F
2026-03-22T16:48:32.822198,makrohang,HU,METAL|JAZZ|THURSDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580975_performance_960.jpeg,/en/programs-lineup-2026#/artist/2064795-makrohang?from=%2F
2026-03-22T16:48:32.822446,Manuel,HU,POP|TUESDAY,https://media.appmiral.com/prod/performance/0057/03/thumb_5602453_performance_500.jpeg,/en/programs-lineup-2026#/artist/2074082-manuel?from=%2F
2026-03-22T16:48:32.822684,Max Baby,FR,ROCK|THURSDAY,https://media.appmiral.com/prod/performance/0057/10/thumb_5609536_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079183-max-baby?from=%2F
2026-03-22T16:48:34.980600,Mehringer,HU,POP|TUESDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594671_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071959-mehringer?from=%2F
2026-03-22T16:48:34.980872,Melina,GR,FOLK|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/08/thumb_5607911_performance_960.png,/en/programs-lineup-2026#/artist/2079192-melina?from=%2F
2026-03-22T16:48:34.981198,MikeeMykanic,HU,HIP-HOP|SATURDAY,https://media.appmiral.com/prod/performance/0057/11/thumb_5610938_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079714-mikee-mykanic?from=%2F
2026-03-22T16:48:36.597411,MirrorGlimpse,HU,HIP-HOP|RAP|TUESDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601085_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074031-mirror-glimpse?from=%2F
2026-03-22T16:48:36.597669,MISSIO,US,ALTERNATIVE|ROCK|SATURDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608583_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079535-missio?from=%2F
2026-03-22T16:48:36.597922,Naïka,US,POP|FRIDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594676_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071961-naika?from=%2F
2026-03-22T16:48:38.772576,NataschaPolké,CH,INDIE|ELECTRONIC|DEEP-HOUSE|THURSDAY,https://media.appmiral.com/prod/performance/0057/08/thumb_5607902_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079188-natascha-polke?from=%2F
2026-03-22T16:48:38.772843,Nation ofLanguage,US,INDIE|INDIE POP|FRIDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594678_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071972-nation-of-language?from=%2F
2026-03-22T16:48:38.773085,Night Tapes,UK,POP|THURSDAY,https://media.appmiral.com/prod/performance/0057/08/thumb_5607909_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079191-night-tapes?from=%2F
2026-03-22T16:48:40.935304,NKS,HU,HIP-HOP|SATURDAY,https://media.appmiral.com/prod/performance/0057/12/thumb_5611321_performance_500.jpeg,/en/programs-lineup-2026#/artist/2079716-nks?from=%2F
2026-03-22T16:48:40.935636,Olympe,IT,ELECTRONIC|TECHNO|MELODIC TECHNO|THURSDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594683_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071952-olympe?from=%2F
2026-03-22T16:48:40.935890,Oskar Med K,NO,ELECTRONIC|HOUSE|TUESDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580025_performance_960.jpeg,/en/programs-lineup-2026#/artist/2065314-oskar-med-k?from=%2F
2026-03-22T16:48:42.539144,Pál UtcaiFiúk,HU,ALTERNATIVE ROCK|ROCK|SATURDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601254_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074025-pal-utcai-fiuk?from=%2F
2026-03-22T16:48:42.539402,Pan-Pot,DE,TECH-HOUSE|ELECTRONIC|TECHNO|THURSDAY,https://media.appmiral.com/prod/performance/0056/78/thumb_5577109_performance_960.jpeg,/en/programs-lineup-2026#/artist/2064838-pan-pot?from=%2F
2026-03-22T16:48:42.539650,ParisPaloma,UK,ALTERNATIVE|INDIE|THURSDAY,https://media.appmiral.com/prod/performance/0056/78/thumb_5577097_performance_960.jpeg,/en/programs-lineup-2026#/artist/2064819-paris-paloma?from=%2F
2026-03-22T16:48:44.701364,Perturbator,FR,ELECTRONIC|TUESDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594685_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071965-perturbator?from=%2F
2026-03-22T16:48:44.701618,Péterfy Bori & LoveBand,HU,ROCK|POP-ROCK|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601077_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074030-peterfy-bori-%26-love-band?from=%2F
2026-03-22T16:48:44.701878,PlatonKarataev,HU,ROCK|ALTERNATIVE ROCK|THURSDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601075_performance_500.jpeg,/en/programs-lineup-2026#/artist/2074029-platon-karataev?from=%2F
